code,name_es,name_en,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_mg_100g
2253,"Avestruz, solomillo, crudo","Ostrich, sirloin, raw",114.13,21.67,0.0,2.95,0.0,80.0
2475,Azafrán,Saffron,348.38,11.4,61.5,5.9,3.9,150.0
2642,Azúcar blanca,"Sugar, white",406.31,0.0,100.0,0.0,0.0,0.0
780,"Azúcar, moreno","Sugar, brown",396.56,0.0,97.6,0.0,0.0,40.0
2136,Bacaladilla,Whiting,76.89,17.4,0.0,0.7,0.0,80.0
745,"Bacalao, ahumado","Cod, smoked",79.22,18.3,0.0,0.55,0.0,1170.0
795,"Bacalao, fresco, al horno","Cod, fresh, baked",99.14,22.1,0.0,1.06,0.0,210.0
2304,"Bacalao, frito","Codfish, fried",75.14,16.97,0.0,0.7,0.0,40.0
1163,"Bacalao, salado, crudo","Cod, salted, raw",320.21,75.0,0.0,1.75,0.0,8100.0
797,"Bacalao, salado, remojado, crudo","Cod, salted, steeped, raw",109.18,26.0,0.0,0.4,0.0,3120.0
680,"Bacón, ahumado, a la parrilla","Bacon, smoked, grilled",290.51,23.4,0.0,22.1,0.0,1760.0
682,"Bacon, crudo, con grasa separable","Bacon, raw, with separable fat",544.2,8.7,0.09,57.5,0.0,680.0
2369,"Bambú, crudo","Bamboo, raw",34.35,2.6,5.2,0.3,2.2,0.0
766,"Barra chocolate, tipo ""bounty""","Chocolate bar, type ""bounty""",489.58,4.6,58.0,26.6,3.5,160.0
770,"Barra de chocolate, tipo ""Kit-kat""","Chocolate bar, type ""kit kat""",498.84,6.5,63.0,24.48,1.3,120.0
769,"Barra de chocolate, tipo ""Mars""","Chocolate bar, type ""mars""",453.96,5.6,65.9,18.48,0.6,160.0
2662,Barrita cereales con chocolate,"Cereal bar, with chocolate",395.08,9.0,73.0,7.0,1.5,160.0
2663,Barrita cereales con frutas,"Cereal bar, with fruit",393.64,8.0,78.0,5.0,1.5,200.0
767,Barrita cereales maíz y trigo,"Cereal bar, with corn and wheat",429.61,7.4,68.3,13.8,1.1,500.0
768,Barrita cereales trigo y chocolate,"Cereal bar, with wheat and chocolate",435.21,8.3,66.6,14.8,1.4,220.0
2480,Batido de chocolate,"Milk shake, chocolate",82.62,2.7,9.8,3.6,0.8,50.0
2481,Batido de fresa,"Milk shake, strawberry",65.73,2.8,11.2,1.0,0.8,100.0
2482,Batido de soja,Soya shake,82.15,5.0,3.9,5.2,0.0,30.0
2519,Batido fermentado de soja,Soy yogurt,89.3,2.35,17.06,1.18,0.6,10.0
683,"Batido lácteo de cacao, bajo en calorías","Milk shake, cacao, light",48.09,3.1,4.6,1.9,0.0,90.0
685,"Batido lácteo, de fresa, bajo en calorías","Milk shake, strawberry, light",111.49,3.8,22.9,0.34,1.6,90.0
2491,Bebida de soja,Soya drink,52.68,3.2,5.76,1.84,1.3,0.0
2429,Bebida energética,Energy drink,4.57,0.25,0.7,0.08,0.0,40.0
2430,Bebida isotónica,Sport drink,32.1,0.0,7.9,0.0,0.0,20.0
2306,Berberechos,Cockles,47.9,10.7,0.0,0.5,0.0,60.0
2370,Berenjena,Aubergine,20.05,0.7,3.8,0.2,2.4,0.0
730,"Berenjena, frita, en aceite de girasol","Aubergine, fried, in sunflowerseed oil",298.0,1.2,2.71,31.9,2.9,0.0
732,"Berro, crudo","Watercress, raw",11.93,2.2,0.3,0.2,2.6,60.0
2312,Besugo,Sea bream,89.54,18.12,0.0,1.8,0.0,20.0
2664,Bizcocho,Sponge cake,380.98,6.5,39.6,21.9,0.8,50.0
2476,Bocadillo,Sandwich,224.36,11.06,35.28,4.08,2.38,540.0
2313,Bogavante,Clawed lobster,92.04,18.3,0.0,2.0,0.0,270.0
2665,"Bollería, genérico",Bakery,446.37,7.0,52.8,23.0,2.3,180.0
