code,name_it,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
206020,"Gelato confezionato, caffè, in vaschetta",245.0,5.1,23.9,15.0,0.0,23.9,
206270,"Gelato confezionato, cono con panna e cioccolato",291.0,5.1,34.9,15.5,,,
206280,"Gelato confezionato, cono con panna, scaglie di cioccolato e noccioline",326.0,4.2,33.3,20.5,,,
206040,"Gelato confezionato, fior di latte, in vaschetta",218.0,4.2,20.7,13.7,0.0,20.7,
206050,"Gelato confezionato, fior di latte, ricoperto di sorbetto alla fragola",101.0,1.4,21.3,1.7,0.0,21.3,
206710,"Gelato confezionato, ghiacciolo all'arancio",137.0,0.0,36.5,0.0,0.0,36.5,
206060,"Gelato confezionato, nocciola, in vaschetta",183.0,3.3,25.2,8.4,0.0,25.2,
206080,"Gelato confezionato, panna ricoperta di cioccolato fondente",316.0,4.5,28.2,21.4,0.0,28.2,
206070,"Gelato confezionato, panna, in vaschetta",189.0,3.2,27.2,8.2,0.0,27.2,
206800,"Gelato confezionato, sorbetto al limone, in vaschetta",132.0,0.9,34.2,0.0,0.0,34.2,18.0
206090,"Gelato confezionato, stracciatella, in vaschetta",193.0,2.9,31.5,7.0,0.0,31.5,
206100,"Gelato confezionato, vaniglia, in vaschetta",167.0,2.7,25.7,6.7,0.0,25.7,
000330,Germe di frumento,378.0,26.0,43.5,10.0,10.5,,3.0
005350,Germogli di soia,54.0,6.2,3.0,1.4,2.8,3.0,30.0
006591,"Gnocchi di patate, cotti",147.0,3.5,34.0,0.2,1.8,1.0,180.0
006590,"Gnocchi di patate, crudi",164.0,3.9,37.9,0.3,1.9,1.4,9.0
202500,"Gomme da masticare, lastrine e confetti",262.0,0.0,70.0,0.0,0.0,70.0,
162400,Gorgonzola,324.0,19.1,1.0,27.1,0.0,1.0,600.0
162410,"Grana Padano, DOP",392.0,33.9,0.0,28.5,0.0,0.0,700.0
128200,"Granchio, in scatola",81.0,18.1,0.0,0.9,0.0,0.0,550.0
000050,Grano saraceno,329.0,12.4,61.2,3.3,10.0,,1.0
002000,Grissini,421.0,11.3,65.1,13.9,3.5,2.2,
162420,Groviera,417.0,30.6,1.5,32.1,0.0,1.5,332.0
007560,"Guava, fresca",31.0,0.7,3.5,0.5,5.4,3.5,4.0
121010,Halibut,114.0,20.6,0.0,3.5,0.0,0.0,
119050,"Hamburger piccolo, solo carne, fast food",264.0,24.5,0.0,18.4,0.0,0.0,
119030,"Hamburger, fast food",251.0,13.1,30.1,9.1,2.0,,
005400,"Indivia, fresca",20.0,0.9,2.7,0.3,1.6,2.7,10.0
163200,Italico,316.0,21.2,1.2,25.2,0.0,1.2,
502260,"Ketchup, salsa",100.0,2.1,24.0,0.0,0.9,22.9,1120.0
007570,"Kiwi, freschi",48.0,1.2,9.0,0.6,2.2,9.0,5.0
007740,"Lamponi, freschi",49.0,1.0,6.5,0.6,7.4,6.5,3.0
191010,Lardo,891.0,0.0,0.0,99.0,0.0,0.0,2.0
132010,Latte di bufala,114.0,4.5,5.1,8.5,0.0,5.1,
130010,Latte di capra,76.0,3.9,4.7,4.8,0.0,4.7,40.0
131010,Latte di pecora,103.0,5.3,5.2,6.9,0.0,5.2,30.0
135510,"Latte di vacca, condensato, zuccherato",328.0,8.7,56.5,9.0,0.0,56.5,130.0
135520,"Latte di vacca, evaporato, non zuccherato",134.0,7.0,8.6,8.2,0.0,8.6,150.0
135610,"Latte di vacca, in polvere, intero",484.0,25.7,42.0,24.9,0.0,42.0,440.0
135620,"Latte di vacca, in polvere, parzialmente scremato",418.0,28.8,50.2,12.7,0.0,50.2,
135630,"Latte di vacca, in polvere, scremato",351.0,33.1,56.2,0.9,0.0,56.2,550.0
135010,"Latte di vacca, pastorizzato, intero",64.0,3.3,4.9,3.6,0.0,4.9,50.0
135020,"Latte di vacca, pastorizzato, parzialmente scremato",46.0,3.5,5.0,1.5,0.0,5.0,
135030,"Latte di vacca, pastorizzato, scremato",36.0,3.6,5.3,0.2,0.0,5.3,52.0
135810,"Latte di vacca, UHT, intero",63.0,3.3,4.7,3.6,0.0,4.7,
135820,"Latte di vacca, UHT, parzialmente scremato",46.0,3.2,5.1,1.6,0.0,5.1,
164400,Latteria,456.0,30.7,1.4,36.4,0.0,1.4,
005420,"Lattuga, a cappuccio, fresca",22.0,1.5,3.0,0.2,1.3,3.0,
005430,"Lattuga, da taglio, fresca",17.0,1.1,2.2,0.1,1.5,2.2,
005410,"Lattuga, fresca",22.0,1.8,2.2,0.4,1.5,2.2,9.0
005436,"Lattughino IV gamma, fresco",16.0,1.4,1.4,0.2,1.6,1.4,18.0
005435,"Lattughino, fresco",16.0,1.5,1.4,0.2,1.6,1.4,17.0
202030,Lenti colorate ripiene di cioccolato,456.0,5.4,73.9,17.5,0.0,70.8,58.0
004510,"Lenticchie, in scatola, scolate",91.0,5.0,15.4,0.5,4.2,0.7,357.0
004500,"Lenticchie, secche",319.0,22.7,51.1,1.0,13.8,1.8,8.0
004505,"Lenticchie, secche, cotte, bollite",109.0,6.9,16.3,0.4,8.3,0.7,2.0
503100,"Lievito di birra, compresso",70.0,12.1,1.1,0.4,6.9,1.1,16.0
008030,"Limoni, freschi",16.0,0.6,2.5,0.0,1.9,2.5,2.0
008040,"Limoni, succo",10.0,0.2,2.5,0.0,0.0,2.5,2.0
115400,Lingua di bovini,232.0,17.1,0.4,18.0,0.0,0.4,73.0
115409,"Lingua di bovini, cotta, fritta",309.0,22.8,0.5,24.0,0.0,0.5,
007580,"Litchi, freschi",72.0,1.1,17.2,0.1,1.3,17.2,1.0
007090,"Loti o kaki, freschi",70.0,0.6,16.0,0.3,2.5,16.0,4.0
121200,Luccio,81.0,18.7,0.1,0.6,0.0,0.1,63.0
109010,"Lumaca, cruda",67.0,12.9,0.0,1.7,0.0,0.0,
004600,"Lupini, ammollati",119.0,16.4,7.1,2.4,2.8,0.5,
008620,Macadamia,751.0,8.0,5.1,76.0,8.0,4.0,5.0
105236,"Maiale, bistecca, cotto, in padella",187.0,25.4,0.0,9.5,0.0,0.0,84.0
105230,"Maiale, bistecca, crudo",157.0,21.3,0.0,8.0,0.0,0.0,56.0
105200,"Maiale, coscio, crudo",110.0,20.2,0.0,3.2,0.0,0.0,76.0
105210,"Maiale, lombo, crudo",146.0,20.7,0.0,7.0,0.0,0.0,73.0
105600,"Maiale, pesante, coscio, crudo",127.0,20.4,0.0,5.1,0.0,0.0,76.0
105700,"Maiale, pesante, lombo, crudo",172.0,20.8,0.0,9.9,0.0,0.0,59.0
105800,"Maiale, pesante, spalla, crudo",156.0,19.0,0.0,8.9,0.0,0.0,73.0
105220,"Maiale, spalla, crudo",133.0,19.0,0.0,6.3,0.0,0.0,73.0
502760,"Maionese, industriale",655.0,4.3,2.1,70.0,0.0,2.1,
000060,Mais,357.0,9.2,75.1,3.8,2.0,2.5,35.0
000300,"Mais, amido",328.0,0.3,87.0,0.0,0.0,1.5,0.0
000070,"Mais, dolce, in scatola, sgocciolato",105.0,3.4,20.5,1.3,1.4,5.3,270.0
008050,"Mandaranci, freschi",57.0,0.8,12.8,0.2,2.2,12.8,2.0
008060,"Mandarini, freschi",76.0,0.9,17.6,0.3,1.7,17.6,1.0
008540,"Mandorle dolci, secche",628.0,22.0,4.6,55.3,12.7,3.7,14.0
007590,"Mango, fresco",56.0,1.0,12.6,0.2,1.6,12.6,1.0
009100,"Margarina, 100% vegetale",760.0,0.6,0.4,84.0,0.0,0.4,800.0
009110,"Margarina, 2/3 di grassi animali, 1/3 di grassi vegetali",760.0,0.7,0.4,84.0,0.0,0.4,
204500,Marmellata,227.0,0.5,58.7,0.0,2.2,58.7,12.0
164800,Mascarpone,455.0,7.6,0.3,47.0,0.0,0.3,86.0
007100,"Melagrane, fresche",68.0,0.5,15.9,0.2,2.2,15.9,7.0
005507,"Melanzane, cotte, al microonde",23.0,0.8,3.0,0.4,2.4,3.0,3.0
005506,"Melanzane, cotte, in padella",39.0,1.3,5.4,0.7,3.7,5.4,4.0
005500,"Melanzane, crude",23.0,1.0,2.6,0.4,2.6,2.6,3.0
007220,"Mele cotogne, fresche",38.0,0.3,6.3,0.1,5.9,6.3,3.0
007190,"Mele, disidratate",356.0,1.3,82.2,2.0,12.5,82.2,7.0
007130,"Mele, fresche, annurche",45.0,0.3,10.2,0.1,2.2,10.2,
