code,name_en,group,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
14-339,"Melon, Canteloupe-type, flesh only",FA,19.0,0.6,4.2,0.1,1.8,4.2,8.0
14-352,"Melon, Canteloupe-type, flesh only, weighed whole",FA,12.0,0.4,2.5,0.1,1.1,2.5,5.0
14-353,"Melon, Canteloupe-type, flesh only, weighed with skin",FA,13.0,0.4,2.8,0.1,1.2,2.8,5.0
14-354,"Melon, flesh only, average",FA,24.0,0.5,5.5,0.1,1.3,5.5,17.0
14-355,"Melon, flesh only, average, weighed whole",FA,15.0,0.3,3.5,0.1,0.8,3.5,11.0
14-356,"Melon, flesh only, average, weighed with skin",FA,16.0,0.3,3.7,0.1,0.9,3.7,11.0
14-159,"Melon, Galia, flesh only",FA,24.0,0.5,5.6,0.1,,5.6,31.0
14-160,"Melon, Galia, flesh only, weighed whole",FA,16.0,0.3,3.6,0.1,,3.6,20.0
14-161,"Melon, Galia, flesh only, weighed with skin",FA,16.0,0.3,3.8,0.1,,3.8,21.0
14-357,"Melon, Honeydew, flesh only, weighed whole",FA,17.0,0.3,4.0,0.1,0.4,4.0,6.0
14-358,"Melon, Honeydew, flesh only, weighed with skin",FA,18.0,0.3,4.3,0.1,0.4,4.3,7.0
14-296,"Melon, watermelon, flesh only",FA,31.0,0.5,7.1,0.3,,7.1,2.0
14-309,"Melon, watermelon, flesh only, weighed whole",FA,18.0,0.3,4.0,0.2,,4.0,1.0
14-328,"Melon, yellow flesh, flesh only",FA,29.0,0.5,6.8,0.1,0.7,6.8,11.0
12-517,"Meringue, homemade",BR,385.0,6.3,96.0,0.0,0.0,96.0,113.0
12-585,"Meringue, with cream, homemade",BR,331.0,2.9,27.2,24.2,0.0,27.2,45.0
15-628,"Methi aloo, homemade",DR,142.0,2.7,10.1,10.4,2.9,1.5,537.0
11-1091,"Milk bread, homemade",AF,289.0,8.8,50.8,7.0,2.0,2.1,76.0
12-513,"Milk drink, fermented, with probiotics",BH,70.0,3.0,12.7,1.2,0.1,12.3,20.0
17-733,"Milk shake, powder",PAA,388.0,1.3,98.3,1.6,0.0,98.3,20.0
12-589,"Milk shake, powder, made up with semi-skimmed milk",BH,70.0,3.3,11.2,1.7,0.0,11.2,41.0
12-590,"Milk shake, powder, made up with skimmed milk",BH,59.0,3.3,11.3,0.3,0.0,11.3,43.0
12-591,"Milk shake, powder, made up with whole milk",BH,86.0,3.3,11.1,3.5,0.0,11.1,40.0
12-512,"Milk, 1% fat, pasteurised",BA,41.0,3.5,4.8,1.0,0.0,4.8,44.0
12-321,"Milk, Channel Islands, whole, pasteurised",BAB,72.0,3.5,4.3,4.7,0.0,4.3,39.0
12-322,"Milk, Channel islands, whole, summer",BAB,73.0,3.9,4.1,4.7,0.0,4.1,39.0
12-323,"Milk, Channel islands, whole, winter",BAB,72.0,3.2,4.4,4.7,0.0,4.4,39.0
12-520,"Milk, condensed, whole, sweetened",BAR,310.0,7.4,55.5,8.0,0.0,55.5,90.0
12-324,"Milk, evaporated, light",BAR,107.0,7.8,10.3,4.1,0.0,10.3,115.0
12-522,"Milk, evaporated, whole",BAR,166.0,8.4,12.7,9.4,0.0,12.7,180.0
12-535,"Milk, flavoured, pasteurised, chocolate",BAR,72.0,3.6,11.7,1.5,0.0,11.0,45.0
12-326,"Milk, flavoured, pasteurised, strawberry, banana",BAR,64.0,3.6,9.6,1.5,0.0,8.9,52.0
12-328,"Milk, goats, pasteurised",BC,62.0,3.1,4.4,3.7,0.0,4.4,42.0
12-038,"Milk, human, colostrum",BC,56.0,2.0,6.6,2.6,,6.6,47.0
12-536,"Milk, human, mature",BC,69.0,1.3,7.2,4.1,0.0,7.2,15.0
12-039,"Milk, human, transitional",BC,67.0,1.5,6.9,3.7,,6.9,30.0
12-313,"Milk, semi-skimmed, pasteurised, average",BAH,46.0,3.5,4.7,1.7,0.0,4.7,43.0
12-418,"Milk, semi-skimmed, pasteurised, summer and autumn",BAH,46.0,3.5,4.5,1.7,0.0,4.5,43.0
12-419,"Milk, semi-skimmed, pasteurised, winter and spring",BAH,47.0,3.4,4.9,1.7,0.0,4.9,43.0
12-314,"Milk, semi-skimmed, UHT",BAH,46.0,3.3,4.9,1.6,0.0,4.9,50.0
12-329,"Milk, sheeps, raw",BC,93.0,5.4,5.1,5.8,0.0,5.1,44.0
12-521,"Milk, skimmed, dried, fortified",BAR,348.0,36.1,52.9,0.6,0.0,52.9,550.0
12-307,"Milk, skimmed, pasteurised, average",BAE,34.0,3.5,4.8,0.3,0.0,4.8,44.0
12-308,"Milk, skimmed, pasteurised, summer",BAE,32.0,3.5,4.4,0.2,,4.4,49.0
12-309,"Milk, skimmed, pasteurised, winter",BAE,32.0,3.5,4.2,0.2,0.0,4.2,42.0
12-554,"Milk, skimmed, UHT",BAE,33.0,3.4,4.9,0.1,0.0,4.9,40.0
12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",BC,43.0,3.1,2.5,2.4,0.5,2.2,56.0
12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",BC,26.0,2.4,0.5,1.6,0.5,0.2,0
12-596,"Milk, whole, pasteurised, average",BAK,63.0,3.4,4.6,3.6,0.0,4.6,42.0
12-598,"Milk, whole, pasteurised, summer and autumn",BAK,61.0,3.4,4.1,3.6,0.0,4.1,45.0
12-597,"Milk, whole, pasteurised, winter and spring",BAK,64.0,3.3,5.0,3.6,0.0,5.0,40.0
12-320,"Milk, whole, UHT",BAK,66.0,3.2,4.8,3.9,0.0,4.8,55.0
12-327,"Milkshake, thick, takeaway",BAR,88.0,3.7,15.3,1.8,0,11.1,57.0
17-669,Milky Way and own brand equivalents,SEA,444.0,3.8,76.6,15.7,1.0,69.7,220.0
11-1092,"Mince pies, homemade, individual",AP,436.0,4.2,55.5,23.5,,29.0,162.0
11-848,"Mince pies, retail",AS,377.0,3.8,60.7,14.9,2.6,35.5,101.0
17-765,Mincemeat,SC,274.0,0.6,62.1,4.3,,62.1,18.0
17-852,"Mincemeat, vegetarian, homemade",S,306.0,1.7,43.8,9.5,,42.5,60.0
11-825,"Minibreads, toasted, retail",AM,423.0,10.5,68.9,13.6,4.2,3.3,865.0
17-707,Mint sauce,WCN,101.0,1.6,21.5,0.0,,21.5,480.0
17-811,"Mint sauce, homemade",WC,85.0,0.8,19.4,0.1,,,5.0
13-837,"Mint, dried",H,279.0,24.8,34.6,4.6,,,98.0
13-836,"Mint, fresh",H,43.0,3.8,5.3,0.7,,,15.0
13-884,"Mixed herbs, dried",H,261.0,12.1,36.3,8.5,,,81.0
17-059,Molasses,SC,266.0,0.0,68.8,0.1,,59.4,37.0
16-093,"Monkfish, flesh only, grilled",JA,96.0,22.7,0.0,0.6,,0.0,26.0
16-094,"Monkfish, flesh only, grilled, weighed with bones",JA,74.0,17.5,0.0,0.4,,0.0,20.0
16-092,"Monkfish, flesh only, raw",JA,66.0,15.7,0.0,0.4,,0.0,18.0
11-912,"Mooli paratha, homemade",AF,171.0,5.9,33.8,2.3,4.8,1.8,395.0
19-609,"Moussaka, homemade",MR,128.0,8.5,4.5,8.0,,2.7,72.0
19-507,"Moussaka, retail, reheated",MR,140.0,8.3,8.6,8.3,1.9,2.0,280.0
15-734,"Moussaka, vegetable, homemade",DR,133.0,4.4,8.7,8.6,,2.4,68.0
15-652,"Moussaka, vegetable, retail",DR,98.0,5.9,8.0,4.9,,4.5,210.0
12-401,"Mousse, chocolate, low fat",BR,123.0,5.5,18.0,3.7,,15.8,69.0
12-402,"Mousse, fruit",BR,143.0,4.5,18.0,6.4,,18.0,62.0
11-781,"Muesli, Swiss style, no added sugar or salt, unfortified",AI,357.0,9.8,70.7,5.9,8.5,13.0,66.0
11-780,"Muesli, Swiss style, unfortified",AI,366.0,9.2,72.6,6.3,8.8,21.3,138.0
11-1094,"Muffins, American style, chocolate chip, homemade",AN,384.0,6.3,53.6,17.5,1.3,28.2,263.0
11-737,"Muffins, American, chocolate, retail",AN,436.0,5.5,49.5,25.4,1.0,30.9,396.0
11-738,"Muffins, American, not chocolate, retail",AN,375.0,5.0,47.8,19.5,1.8,27.7,250.0
11-1095,"Muffins, bran, homemade",AP,263.0,8.2,44.5,7.0,9.2,17.3,351.0
11-541,"Muffins, English style, white",AP,223.0,10.0,44.2,1.9,2.6,3.4,431.0
11-542,"Muffins, English style, white, toasted",AP,261.0,11.3,51.0,2.7,3.0,3.8,493.0
14-168,"Mulberries, whole fruit, raw",FA,36.0,1.3,8.1,0.0,,8.1,2.0
14-169,"Mulberries, whole fruit, stewed with sugar",FA,65.0,1.0,16.2,0.0,,16.2,1.0
14-170,"Mulberries, whole fruit, stewed without sugar",FA,30.0,1.1,6.9,0.0,,6.9,1.0
16-096,"Mullet, Grey, flesh only, grilled",JA,150.0,25.7,0.0,5.2,,0.0,84.0
16-095,"Mullet, Grey, flesh only, raw",JA,115.0,19.8,0.0,4.0,,0.0,65.0
16-097,"Mullet, Grey, grilled, weighed with bones and skin",JA,82.0,14.1,0.0,2.9,,0.0,46.0
16-099,"Mullet, Red, flesh only, grilled",JA,121.0,20.4,0.0,4.4,,0.0,110.0
16-100,"Mullet, Red, flesh only, grilled, weighed with bones and skin",JA,57.0,9.6,0.0,2.1,,0.0,50.0
16-098,"Mullet, Red, flesh only, raw",JA,109.0,18.7,0.0,3.8,,0.0,91.0
17-416,"Mushroom, dried",DI,159.0,21.8,4.8,6.0,,3.6,60.0
13-288,"Mushrooms, Chinese, dried, raw",DG,284.0,10.0,59.9,1.8,,,38.0
13-289,"Mushrooms, Jew's ear, tender, dried, raw",DG,279.0,6.9,62.4,1.0,,,63.0
13-290,"Mushrooms, Jew's ear, tender, dried, soaked, raw",DG,29.0,0.7,5.7,0.7,,,1.0
13-291,"Mushrooms, Jew's ear, tough, dried, raw",DG,325.0,4.8,68.7,2.0,,,130.0
13-292,"Mushrooms, Jew's ear, tough, dried, soaked, raw",DG,76.0,1.1,15.1,0.2,,,35.0
13-293,"Mushrooms, oyster, raw",DG,8.0,1.6,0.0,0.2,,0,77.0
13-295,"Mushrooms, shiitake, cooked",DG,55.0,1.6,12.3,0.2,,,4.0
13-294,"Mushrooms, shiitake, dried, raw",DG,296.0,9.6,63.9,1.0,,,13.0
13-546,"Mushrooms, white, fried in corn oil",DG,106.0,1.4,0.4,11.0,1.0,0.4,6.0
