code,name_en,group,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
13-145,"Ackee, canned, drained",DG,151.0,2.9,0.8,15.2,,0.8,240.0
13-146,"Agar, dried",DG,16.0,1.3,0.0,1.2,,0,110.0
13-147,"Agar, dried, soaked and drained",DG,2.0,0.2,0.0,0.1,,0,10.0
13-148,"Alfalfa sprouts, raw",DG,24.0,4.0,0.4,0.7,,0.3,6.0
14-870,"Almonds, flaked and ground",GA,612.0,21.1,6.9,55.8,,4.2,14.0
14-897,"Almonds, toasted",GA,579.0,21.0,5.9,52.5,10.9,5.1,3.0
14-898,"Almonds, weighed with shells",GA,205.0,7.8,1.9,18.5,4.6,1.6,0
14-896,"Almonds, whole kernels",GA,554.0,21.2,5.3,49.9,12.5,4.5,1.0
13-150,"Amaranth leaves, boiled in unsalted water",DG,16.0,3.0,0.3,0.3,,0.2,11.0
13-149,"Amaranth leaves, raw",DG,18.0,3.5,0.3,0.3,,0.2,13.0
14-001,Amla,FA,58.0,0.5,13.7,0.1,,,5.0
16-448,"Anchovies, canned in oil, drained",JC,191.0,25.2,0.0,10.0,0.0,0.0,5870.0
14-272,"Apple juice concentrate, unsweetened, commerical",PE,223.0,0.5,57.6,0.6,,57.6,11.0
14-331,"Apple juice, clear, ambient and chilled",FC,37.0,0.1,9.7,0.0,0,9.7,3.0
17-851,"Apple sauce, homemade",WC,79.0,0.3,20.2,0.2,1.4,20.2,2.0
14-344,"Apples, cooking, baked with sugar, flesh only",FA,69.0,0.2,17.1,0.4,1.9,17.1,1.0
14-345,"Apples, cooking, baked with sugar, flesh only, weighed with skin",FA,57.0,0.2,14.3,0.3,1.6,14.3,1.0
14-342,"Apples, cooking, baked without sugar, flesh only",FA,47.0,0.2,11.4,0.4,2.0,11.4,1.0
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",FA,40.0,0.2,9.6,0.3,1.7,9.6,1.0
14-362,"Apples, cooking, raw, flesh only, peeled",F,37.0,0.3,8.9,0.3,1.7,8.9,2.0
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",F,27.0,0.2,6.5,0.2,1.2,6.4,1.0
14-332,"Apples, cooking, stewed with sugar, flesh only",FA,81.0,0.2,20.8,0.3,1.4,20.8,1.0
14-320,"Apples, cooking, stewed without sugar, flesh only",FA,40.0,0.2,9.7,0.3,1.7,9.7,1.0
14-016,"Apples, eating, dried",FA,238.0,2.0,60.1,0.5,,60.1,16.0
14-319,"Apples, eating, raw, flesh and skin",FA,51.0,0.6,11.6,0.5,1.2,11.6,1.0
14-346,"Apples, eating, raw, flesh and skin, weighed with core",FA,43.0,0.5,10.0,0.4,1.0,10.0,1.0
14-031,"Apricots, dried",FA,188.0,4.8,43.4,0.7,,43.4,56.0
14-032,"Apricots, dried, stewed with sugar",FA,92.0,1.9,22.0,0.3,,22.0,21.0
14-033,"Apricots, dried, stewed without sugar",FA,77.0,2.0,17.8,0.3,,17.8,22.0
14-025,"Apricots, raw, flesh and skin",FA,31.0,0.9,7.2,0.1,,7.2,2.0
14-026,"Apricots, raw, flesh and skin, weighed with stones",FA,29.0,0.8,6.6,0.1,,6.6,2.0
14-392,"Apricots, ready-to-eat, semi-dried",FA,161.0,2.2,39.4,0.5,5.3,39.4,9.0
14-027,"Apricots, stewed with sugar",FA,72.0,0.7,18.3,0.1,,18.3,1.0
14-028,"Apricots, stewed with sugar, weighed with stones",FA,67.0,0.6,17.1,0.1,,17.1,1.0
14-029,"Apricots, stewed without sugar",FA,27.0,0.7,6.2,0.1,,6.2,1.0
14-030,"Apricots, stewed without sugar, weighed with stones",FA,25.0,0.7,5.8,0.1,,5.8,1.0
13-152,"Arrowhead, boiled in unsalted water",DG,91.0,4.2,17.8,0.3,,,18.0
13-151,"Arrowhead, raw",DG,107.0,5.0,21.5,0.3,,,22.0
11-001,Arrowroot,AA,355.0,0.4,94.0,0.1,,0,5.0
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",DG,18.0,2.9,2.7,0.2,,1.3,15.0
13-154,"Artichoke, globe, boiled, weighed as served",DG,8.0,1.2,1.2,0.1,,0.6,6.0
13-153,"Artichoke, globe, raw",DG,18.0,2.8,2.7,0.2,,1.3,27.0
13-156,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",DG,41.0,1.6,10.6,0.1,,1.6,3.0
13-639,"Asparagus, grilled",DG,25.1,3.5,2.0,0.4,1.6,2.0,3.0
13-157,"Asparagus, raw",DG,25.0,2.9,2.0,0.6,,1.9,1.0
13-640,"Asparagus, roasted in rapeseed oil",DG,35.0,3.5,2.0,1.5,1.6,2.0,4.0
13-638,"Asparagus, steamed",DG,21.0,2.9,1.6,0.4,1.3,1.6,3.0
13-651,"Aubergine, flesh and skin, boiled in unsalted water",DG,14.0,0.7,1.8,0.5,1.8,1.6,1.0
13-669,"Aubergine, flesh and skin, roasted in rapeseed oil",DG,62.0,2.1,5.2,3.8,5.1,4.6,2.0
13-412,"Aubergine, fried in butter",DG,302.0,1.2,2.8,31.9,,2.6,2.0
13-162,"Aubergine, fried in corn oil",DG,302.0,1.2,2.8,31.9,,2.6,2.0
13-577,"Aubergine, fried in rapeseed oil",DG,302.0,1.2,2.8,31.9,,2.6,2.0
13-161,"Aubergine, raw",DG,15.0,0.9,2.2,0.4,,2.0,2.0
15-001,"Aubergine, stuffed with lentils and vegetables",DR,64.0,2.0,3.9,4.6,,1.7,79.0
15-662,"Aubergine, stuffed with rice",DR,86.0,1.9,15.9,2.1,,6.0,7.0
15-663,"Aubergine, stuffed with vegetables, cheese topping",DR,119.0,5.0,3.6,9.7,,3.2,109.0
14-039,"Avocado, Fuerte, flesh only",FA,189.0,2.1,1.9,19.3,,0.5,9.0
14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",FA,134.0,1.5,1.3,13.7,,0.4,6.0
14-386,"Avocado, Hass, flesh only",FA,171.0,1.8,1.8,17.4,3.1,0.4,7.0
14-387,"Avocado, Hass, flesh only, weighed with skin and stone",FA,118.0,1.3,1.3,12.0,2.1,0.3,5.0
16-001,"Ayr, raw",JA,75.0,15.9,0.0,1.3,,0.0,
14-043,"Babaco, flesh only",FA,17.0,1.1,3.1,0.1,,3.1,2.0
16-169,"Bacha, raw",JC,123.0,18.1,0.0,5.6,,0.0,
19-644,"Bacon loin steaks, lean, grilled",MAA,158.0,28.9,1.1,4.3,,1.1,990.0
19-645,"Bacon rashers, back, dry-cured, grilled",MAA,257.0,28.4,0.0,15.9,0.0,0.0,1730.0
19-498,"Bacon rashers, back, dry-fried",MAA,295.0,24.2,0.0,22.0,0.0,0.0,1410.0
19-499,"Bacon rashers, back, fat trimmed, grilled",MAA,214.0,25.7,0.0,12.3,0.0,0.0,1430.0
19-646,"Bacon rashers, back, fat trimmed, raw",MAA,136.0,18.8,0.0,6.7,0.0,0.0,1000.0
19-500,"Bacon rashers, back, grilled",MAA,287.0,23.2,0.0,21.6,0.0,0.0,1390.0
19-501,"Bacon rashers, back, grilled crispy",MAA,313.0,36.0,0.0,18.8,0.0,0.0,2000.0
19-502,"Bacon rashers, back, microwaved",MAA,307.0,24.2,0.0,23.3,0.0,0.0,1730.0
19-497,"Bacon rashers, back, raw",MAA,215.0,16.5,0.0,16.5,0.0,0.0,1140.0
19-009,"Bacon rashers, back, reduced salt, grilled",MAA,282.0,24.1,0.0,20.6,0.0,0.0,1130.0
19-659,"Bacon rashers, back, smoked, grilled",MAA,293.0,23.4,0.0,22.1,0.0,0.0,1390.0
19-647,"Bacon rashers, back, sweetcure, grilled",MAA,258.0,23.8,1.6,17.4,0.0,1.6,1390.0
19-660,"Bacon rashers, back, 'tendersweet', grilled",MAA,213.0,26.4,0.0,11.9,0.0,0,1390.0
19-648,"Bacon rashers, middle, fried in corn oil",MAA,350.0,23.4,0.0,28.5,0.0,0.0,1390.0
19-503,"Bacon rashers, middle, grilled",MAA,307.0,24.8,0.0,23.1,0.0,0.0,1390.0
19-649,"Bacon rashers, middle, raw",MAA,241.0,15.2,0.0,20.0,0.0,0.0,1050.0
19-504,"Bacon rashers, streaky, fried in corn oil",MAA,335.0,23.8,0.0,26.6,0.0,0.0,1680.0
19-018,"Bacon rashers, streaky, grilled",MAA,337.0,23.8,0.0,26.9,0.0,0.0,1680.0
19-016,"Bacon rashers, streaky, raw",MAA,276.0,15.8,0.0,23.6,,0.0,1260.0
19-537,"Bacon, fat only, average, cooked",MAA,692.0,9.3,0.0,72.8,0.0,0.0,740.0
19-650,"Bacon, fat only, average, raw",MAA,747.0,4.8,0.0,80.9,0.0,0.0,420.0
11-970,"Bagels, plain",AP,273.0,10.0,57.8,1.8,3.0,4.8,400.0
13-578,"Baked beans, canned in barbecue sauce",DB,77.0,5.3,14.0,0.4,4.9,4.8,260.0
13-532,"Baked beans, canned in tomato sauce",DB,81.0,5.0,15.0,0.5,4.9,4.8,261.0
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",DB,75.0,5.0,13.5,0.5,4.9,3.3,190.0
13-579,"Baked beans, canned in tomato sauce, with pork sausages",DB,98.0,6.0,11.0,4.5,3.3,4.0,260.0
12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,688.0,0.0,0.0,76.4,0.0,0.0,600.0
17-355,Baking powder,WY,163.0,5.2,37.8,0.0,0.0,0.0,11800.0
11-1029,"Banana bread, homemade",AN,331.0,4.4,53.9,12.4,,36.3,171.0
12-556,"Banana split, homemade",BP,205.0,2.3,23.9,11.8,0.6,18.4,38.0
14-318,"Bananas, flesh only",FA,81.0,1.2,20.3,0.1,1.4,18.1,0
14-347,"Bananas, raw, flesh only, weighed with skin",FA,51.0,0.8,12.8,0.0,0.9,11.4,0
11-1030,"Bannocks, made with beremeal, homemade",AF,266.0,9.3,56.8,1.7,1.0,3.1,111.0
11-951,"Bannocks, made with wheat flour, homemade",AF,292.0,8.5,65.5,1.3,3.1,2.4,152.0
17-705,Barbecue sauce,WCN,140.0,1.0,36.1,0.1,1.2,29.9,630.0
17-769,"Barbecue sauce, homemade",WC,300.0,2.7,26.1,21.0,1.7,21.5,392.0
14-804,"Barcelona nuts, Kernel only",GA,639.0,10.9,5.2,64.0,,3.4,3.0
14-805,"Barcelona nuts, kernel only, weighed with shells",GA,397.0,6.8,3.2,39.7,,2.1,2.0
17-844,"Barley water, diluted",PCC,18.0,0.1,4.7,0.0,0,4.3,3.0
17-743,"Barley water, undiluted",PCC,90.0,0.3,23.7,0.0,0,21.5,15.0
11-003,"Barley, pearl, boiled",AA,120.0,2.7,27.6,0.6,,0,1.0
11-002,"Barley, pearl, raw",AA,360.0,7.9,83.6,1.7,,0,3.0
13-805,"Basil, dried, ground",H,251.0,14.4,43.2,4.0,,,34.0
13-804,"Basil, fresh",H,40.0,3.1,5.1,0.8,,,9.0
16-386,"Bass, sea, flesh only, baked",JA,154.0,23.2,0.0,6.8,0.0,0.0,80.0
16-463,"Bass, sea, flesh only, baked, weighed with bones and skin",JA,137.0,20.6,0.0,6.1,0.0,0.0,71.0
16-385,"Bass, sea, flesh only, raw",JA,168.0,20.0,0.0,9.8,0.0,0.0,72.0
16-464,"Bass, sea, flesh only, raw, weighed with bones and skin",JA,144.0,17.2,0.0,8.4,0.0,0.0,62.0
13-806,"Bay leaf, dried",H,313.0,7.6,48.6,8.4,,,23.0
15-664,"Bean loaf, mixed beans, homemade",DR,148.0,6.6,15.1,7.2,,3.6,5.0
15-665,"Beanburger, aduki, fried in rapeseed oil, homemade",DR,190.0,8.1,24.1,7.3,,2.3,208.0
15-666,"Beanburger, butter bean, fried in rapeseed oil, homemade",DR,194.0,5.7,20.2,10.6,,3.0,71.0
15-667,"Beanburger, red kidney bean, fried in rapeseed oil",DR,202.0,6.2,21.7,10.7,,2.6,71.0
15-668,"Beanburger, soya, fried in rapeseed oil",DR,193.0,10.5,14.5,10.7,,3.7,201.0
13-042,"Beans, aduki, whole, dried, boiled in unsalted water",DB,123.0,9.3,22.5,0.2,,0.5,2.0
13-041,"Beans, aduki, whole, dried, raw",DB,272.0,19.9,50.1,0.5,,1.0,5.0
13-049,"Beans, balor, ends trimmed, raw",DB,23.0,2.7,3.0,0.1,,2.4,1.0
13-063,"Beans, blackeye, whole, dried, boiled in unsalted water",DB,116.0,8.8,19.9,0.7,,1.1,5.0
13-062,"Beans, blackeye, whole, dried, raw",DB,311.0,23.5,54.1,1.6,,2.9,16.0
13-067,"Beans, broad, dried, raw",DB,245.0,26.1,32.5,2.1,,5.9,11.0
13-648,"Beans, broad, whole, boiled in unsalted water",DB,91.0,9.0,12.3,1.0,9.0,1.1,2.0
13-064,"Beans, broad, whole, raw",DB,59.0,5.7,7.2,1.0,,1.3,1.0
13-559,"Beans, butter, canned, re-heated, drained",DB,77.0,5.9,13.0,0.5,,1.1,0
13-663,"Beans, butter, dried, boiled in unsalted water",DB,105.0,8.1,16.8,1.1,11.2,1.4,0
13-070,"Beans, butter, dried, raw",DB,290.0,19.1,52.9,1.7,,3.6,40.0
13-666,"Beans, cannellini, canned, re-heated, drained",DB,104.0,7.6,15.9,1.6,6.8,0.7,7.0
13-670,"Beans, chick peas, canned, re-heated, drained",DB,129.0,8.4,18.3,3.0,7.1,0.7,1.0
13-077,"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",DB,114.0,7.7,17.4,2.0,,1.0,5.0
13-076,"Beans, chick peas, Kabuli, split, dried, raw",DB,325.0,22.7,49.6,5.4,,2.6,39.0
13-662,"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water",DB,129.0,8.4,18.3,3.0,10.6,0.7,1.0
13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,320.0,21.3,49.6,5.4,,2.6,39.0
13-080,"Beans, cluster, raw",DB,23.0,2.6,3.0,0.1,,2.9,1.0
13-667,"Beans, edamame, frozen, boiled in unsalted water",DB,142.0,12.2,6.5,7.6,5.9,2.6,5.0
13-515,"Beans, green, boiled in unsalted water",DB,26.0,2.1,4.0,0.3,4.1,3.0,0
13-514,"Beans, green, raw",DB,24.0,2.1,3.1,0.4,3.4,2.2,0
13-665,"Beans, haricot, canned, re-heated, drained",DB,96.0,7.1,15.6,1.0,6.8,0.6,6.0
13-087,"Beans, haricot, whole, dried, boiled in unsalted water",DB,95.0,6.6,17.2,0.5,,0.8,15.0
13-086,"Beans, haricot, whole, dried, raw",DB,286.0,21.4,49.7,1.6,,2.8,43.0
13-099,"Beans, mung, dahl, dried, boiled in unsalted water",DB,92.0,7.8,15.3,0.4,,0.5,2.0
13-098,"Beans, mung, dahl, dried, raw",DB,291.0,26.8,46.3,1.1,,1.5,12.0
13-664,"Beans, mung, whole, dried, boiled in unsalted water",DB,100.0,8.6,15.8,0.7,6.1,0.4,0
13-096,"Beans, mung, whole, dried, raw",DB,279.0,23.9,46.3,1.1,,1.5,12.0
13-100,"Beans, papri, raw",DB,40.0,5.4,4.2,0.3,,1.8,1.0
13-105,"Beans, pigeon peas, dahl, dried, boiled in unsalted water",DB,118.0,8.7,21.2,0.5,,0.6,14.0
13-104,"Beans, pigeon peas, dahl, dried, raw",DB,324.0,21.8,58.6,1.9,,1.7,38.0
13-103,"Beans, pigeon peas, whole, dried, boiled in unsalted water",DB,117.0,8.5,21.2,0.5,,0.6,14.0
13-102,"Beans, pigeon peas, whole, dried, raw",DB,317.0,20.0,58.6,1.9,,1.7,38.0
13-107,"Beans, pinto, dried, boiled in unsalted water",DB,137.0,8.9,23.9,0.7,,,1.0
13-106,"Beans, pinto, dried, raw",DB,327.0,21.1,57.1,1.6,,,10.0
13-108,"Beans, pinto, re-fried beans",DB,107.0,6.2,15.3,1.1,,,420.0
13-660,"Beans, red kidney, canned in water, re-heated, drained",DB,100.0,8.6,15.1,1.0,6.8,0.8,0
13-659,"Beans, red kidney, dried, boiled in unsalted water",DB,100.0,8.6,15.1,1.0,11.1,0.8,0
13-109,"Beans, red kidney, dried, raw",DB,266.0,22.1,44.1,1.4,,2.5,18.0
13-654,"Beans, runner, boiled in unsalted water",DB,16.0,1.1,1.9,0.5,2.2,1.6,0
13-112,"Beans, runner, raw",DB,22.0,1.6,3.2,0.4,,2.8,0
13-116,"Beans, soya, dried, boiled in unsalted water",DB,141.0,14.0,5.1,7.3,,2.1,1.0
13-115,"Beans, soya, dried, raw",DB,370.0,35.9,15.8,18.6,,5.5,5.0
13-117,"Beans, sword, raw",DB,41.0,2.5,7.2,0.3,,,29.0
13-580,"Beansprouts, mung, boiled in unsalted water",DB,25.0,2.5,2.8,0.5,,1.4,4.0
13-426,"Beansprouts, mung, raw",DB,31.0,2.9,4.0,0.5,,2.2,5.0
13-567,"Beansprouts, mung, stir-fried in rapeseed oil",DB,72.0,1.9,2.5,6.1,,1.4,3.0
19-471,"Beef bourguignon, homemade",MR,140.0,13.8,2.5,6.2,0.4,0.9,238.0
19-548,"Beef bourguignonne, made with lean beef, homemade",MR,105.0,14.1,2.5,4.2,0.5,0.8,233.0
17-514,Beef extract,WY,179.0,40.4,3.2,0.6,0.0,0.4,4370.0
19-588,"Beef olives, homemade",MR,159.0,13.9,1.6,11.0,0.2,0.3,437.0
19-589,"Beef steak pudding, homemade",MR,207.0,11.5,18.7,10.2,1.1,0.8,82.0
19-551,"Beef Stroganoff, homemade",MR,171.0,15.3,2.5,11.2,0.6,2.1,54.0
19-552,"Beef Wellington, homemade",MR,356.0,16.3,16.2,25.5,1.4,0.7,297.0
18-009,"Beef, braising steak, braised, lean and fat",MAC,246.0,32.9,0.0,12.7,0.0,0.0,60.0
18-008,"Beef, braising steak, braised, lean only",MAC,225.0,34.4,0.0,9.7,0.0,0.0,62.0
18-006,"Beef, braising steak, raw, lean",MAC,139.0,21.8,0.0,5.7,,0.0,64.0
18-007,"Beef, braising steak, raw, lean and fat",MAC,160.0,20.7,0.0,8.6,,0.0,60.0
18-010,"Beef, braising steak, slow cooked, lean",MAC,197.0,31.4,0.0,7.9,,0.0,53.0
18-011,"Beef, braising steak, slow cooked, lean and fat",MAC,217.0,29.0,0.0,11.2,,0.0,50.0
18-014,"Beef, brisket, boiled, lean",MAC,225.0,31.4,0.0,11.0,,0.0,50.0
18-015,"Beef, brisket, boiled, lean and fat",MAC,268.0,27.8,0.0,17.4,,0.0,46.0
18-012,"Beef, brisket, raw, lean",MAC,139.0,21.1,0.0,6.1,,0.0,59.0
18-013,"Beef, brisket, raw, lean and fat",MAC,218.0,18.4,0.0,16.0,,0.0,50.0
18-005,"Beef, fat, average, cooked",MAC,533.0,15.5,0.0,52.3,0.0,0.0,35.0
18-003,"Beef, fat, average, raw",MAC,558.0,18.9,0.0,53.6,0.0,0.0,26.0
18-004,"Beef, fat, average, raw, extra trimmed",MAC,677.0,6.8,0.0,72.2,,0.0,
18-018,"Beef, fillet steak, fried in corn oil, lean",MAC,184.0,28.2,0.0,7.9,,0.0,68.0
18-019,"Beef, fillet steak, fried in corn oil, lean and fat",MAC,192.0,28.0,0.0,8.9,,0.0,67.0
18-022,"Beef, fillet steak, from steakhouse, lean",MAC,178.0,28.7,0.0,7.0,,0.0,61.0
18-023,"Beef, fillet steak, from steakhouse, lean and fat",MAC,184.0,28.5,0.0,7.8,,0.0,61.0
18-020,"Beef, fillet steak, grilled, lean",MAC,188.0,29.1,0.0,8.0,,0.0,70.0
18-021,"Beef, fillet steak, grilled, lean and fat",MAC,200.0,28.7,0.0,9.5,,0.0,67.0
18-016,"Beef, fillet steak, raw, lean",MAC,140.0,21.2,0.0,6.1,,0.0,44.0
18-017,"Beef, fillet steak, raw, lean and fat",MAC,155.0,20.9,0.0,7.9,,0.0,43.0
18-026,"Beef, flank, pot-roasted, lean",MAC,253.0,31.8,0.0,14.0,,0.0,51.0
18-027,"Beef, flank, pot-roasted, lean and fat",MAC,309.0,27.1,0.0,22.3,,0.0,45.0
18-024,"Beef, flank, raw, lean",MAC,175.0,22.7,0.0,9.3,,0.0,64.0
18-025,"Beef, flank, raw, lean and fat",MAC,266.0,19.7,0.0,20.8,,0.0,54.0
18-030,"Beef, fore-rib/rib-roast, microwaved, lean",MAC,243.0,35.0,0.0,11.4,,0.0,60.0
18-031,"Beef, fore-rib/rib-roast, microwaved, lean and fat",MAC,306.0,30.4,0.0,20.5,,0.0,54.0
18-032,"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",MAC,254.0,25.2,0.0,17.0,,0.0,45.0
18-028,"Beef, fore-rib/rib-roast, raw, lean",MAC,145.0,21.5,0.0,6.5,,0.0,61.0
18-029,"Beef, fore-rib/rib-roast, raw, lean and fat",MAC,253.0,18.8,0.0,19.8,,0.0,52.0
18-033,"Beef, fore-rib/rib-roast, roasted, lean",MAC,236.0,33.3,0.0,11.4,,0.0,57.0
18-034,"Beef, fore-rib/rib-roast, roasted, lean and fat",MAC,300.0,29.1,0.0,20.4,,0.0,54.0
18-035,"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",MAC,252.0,24.4,0.0,17.1,,0.0,43.0
18-468,"Beef, lean, average, raw",MAC,129.0,22.5,0.0,4.3,0.0,0.0,63.0
18-002,"Beef, lean, average, raw, extra trimmed",MAC,132.0,21.6,0.0,5.1,,0.0,
18-042,"Beef, mince patties, barbecued",MAC,264.0,29.6,0.0,16.2,,0.0,98.0
18-507,"Beef, mince, extra lean, stewed",MAC,137.0,24.7,0.0,4.2,0.0,0.0,75.0
18-039,"Beef, mince, frozen, stewed",MAC,204.0,19.3,0.0,14.1,,0.0,62.0
18-037,"Beef, mince, microwaved",MAC,263.0,26.4,0.0,17.5,0.0,0.0,91.0
18-469,"Beef, mince, raw",MAC,225.0,19.7,0.0,16.2,0.0,0.0,80.0
18-508,"Beef, mince, raw, extra lean",MAC,130.0,21.9,0.0,4.2,,0.0,90.0
19-607,"Beef, mince, stewed",MR,139.0,10.9,2.5,9.9,0.3,0.6,73.0
18-470,"Beef, mince, stewed",MAC,209.0,21.8,0.0,13.5,0.0,0.0,73.0
19-606,"Beef, mince, with vegetables, stewed",MR,122.0,9.2,5.7,7.2,1.2,2.3,254.0
19-664,"Beef, minced, stewed with onions, extra lean",MR,113.0,12.1,2.5,3.6,0.3,0.6,288.0
18-045,"Beef, rump steak, barbecued, lean",MAC,176.0,31.2,0.0,5.7,0.0,0.0,78.0
18-046,"Beef, rump steak, barbecued, lean and fat",MAC,203.0,29.5,0.0,9.4,,0.0,74.0
18-472,"Beef, rump steak, fried in corn oil, lean and fat",MAC,228.0,28.4,0.0,12.7,0.0,0.0,71.0
18-473,"Beef, rump steak, fried in corn oil, lean only",MAC,183.0,30.9,0.0,6.6,0.0,0.0,78.0
18-051,"Beef, rump steak, from steakhouse, lean and fat",MAC,213.0,27.5,0.0,11.4,,0.0,66.0
18-050,"Beef, rump steak, from steakhouse, lean only",MAC,162.0,29.8,0.0,4.7,0.0,0.0,72.0
18-474,"Beef, rump steak, grilled, lean only",MAC,177.0,31.0,0.0,5.9,0.0,0.0,74.0
18-043,"Beef, rump steak, raw, lean",MAC,125.0,22.0,0.0,4.1,,0.0,60.0
18-471,"Beef, rump steak, raw, lean and fat",MAC,174.0,20.7,0.0,10.1,0.0,0.0,56.0
18-052,"Beef, rump steak, strips, stir-fried in corn oil, lean",MAC,208.0,32.3,0.0,8.8,0.0,0.0,78.0
18-053,"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",MAC,248.0,29.7,0.0,14.4,,0.0,71.0
18-056,"Beef, silverside, pot-roasted, lean",MAC,193.0,34.0,0.0,6.3,,0.0,58.0
18-057,"Beef, silverside, pot-roasted, lean and fat",MAC,247.0,31.0,0.0,13.7,,0.0,54.0
18-054,"Beef, silverside, raw, lean",MAC,134.0,23.8,0.0,4.3,,0.0,62.0
18-055,"Beef, silverside, raw, lean and fat",MAC,215.0,20.4,0.0,14.8,,0.0,53.0
18-060,"Beef, silverside, salted, boiled, lean",MAC,184.0,30.4,0.0,6.9,0.0,0.0,1020.0
18-061,"Beef, silverside, salted, boiled, lean and fat",MAC,224.0,27.9,0.0,12.5,,0.0,940.0
18-058,"Beef, silverside, salted, raw, lean",MAC,140.0,19.2,0.0,7.0,,0.0,640.0
18-059,"Beef, silverside, salted, raw, lean and fat",MAC,227.0,16.3,0.0,18.0,,0.0,550.0
18-062,"Beef, sirloin joint, roasted, lean",MAC,188.0,32.4,0.0,6.5,,0.0,55.0
18-063,"Beef, sirloin joint, roasted, lean and fat",MAC,233.0,29.8,0.0,12.6,,0.0,53.0
18-066,"Beef, sirloin steak, fried in corn oil, lean",MAC,189.0,28.8,0.0,8.2,,0.0,69.0
18-067,"Beef, sirloin steak, fried in corn oil, lean and fat",MAC,233.0,26.8,0.0,14.0,,0.0,64.0
18-074,"Beef, sirloin steak, from steakhouse, lean",MAC,172.0,31.5,0.0,5.1,,0.0,76.0
18-075,"Beef, sirloin steak, from steakhouse, lean and fat",MAC,215.0,29.6,0.0,10.7,,0.0,71.0
18-070,"Beef, sirloin steak, grilled medium-rare, lean",MAC,176.0,26.6,0.0,7.7,,0.0,65.0
18-071,"Beef, sirloin steak, grilled medium-rare, lean and fat",MAC,213.0,24.8,0.0,12.6,,0.0,60.0
18-068,"Beef, sirloin steak, grilled rare, lean",MAC,166.0,26.4,0.0,6.7,,0.0,63.0
18-069,"Beef, sirloin steak, grilled rare, lean and fat",MAC,216.0,25.1,0.0,12.8,,0.0,60.0
18-072,"Beef, sirloin steak, grilled well-done, lean",MAC,225.0,33.9,0.0,9.9,,0.0,81.0
18-073,"Beef, sirloin steak, grilled well-done, lean and fat",MAC,257.0,31.8,0.0,14.4,,0.0,76.0
18-064,"Beef, sirloin steak, raw, lean",MAC,135.0,23.5,0.0,4.5,,0.0,70.0
18-065,"Beef, sirloin steak, raw, lean and fat",MAC,201.0,21.6,0.0,12.7,,0.0,62.0
18-082,"Beef, stewing steak, frozen, stewed, lean",MAC,195.0,29.7,0.0,8.5,,0.0,47.0
18-083,"Beef, stewing steak, frozen, stewed, lean and fat",MAC,212.0,26.9,0.0,11.6,,0.0,44.0
18-078,"Beef, stewing steak, pressure cooked, lean",MAC,199.0,35.1,0.0,6.5,,0.0,60.0
18-079,"Beef, stewing steak, pressure cooked, lean and fat",MAC,217.0,34.0,0.0,9.0,,0.0,60.0
18-076,"Beef, stewing steak, raw, lean",MAC,122.0,22.6,0.0,3.5,0.0,0.0,69.0
18-077,"Beef, stewing steak, raw, lean and fat",MAC,146.0,22.1,0.0,6.4,0.0,0.0,66.0
18-080,"Beef, stewing steak, stewed, lean",MAC,185.0,32.0,0.0,6.3,0.0,0.0,54.0
18-081,"Beef, stewing steak, stewed, lean and fat",MAC,203.0,29.2,0.0,9.6,0.0,0.0,51.0
19-530,"Beef, stir-fried with green peppers, homemade",MR,145.0,11.8,6.1,8.0,,3.8,212.0
18-086,"Beef, topside, microwaved, lean",MAC,181.0,35.0,0.0,4.6,,0.0,60.0
18-087,"Beef, topside, microwaved, lean and fat",MAC,228.0,32.1,0.0,11.1,,0.0,55.0
18-084,"Beef, topside, raw, lean",MAC,116.0,23.0,0.0,2.7,,0.0,77.0
18-085,"Beef, topside, raw, lean and fat",MAC,198.0,20.4,0.0,12.9,,0.0,67.0
18-088,"Beef, topside, roasted medium-rare, lean",MAC,175.0,32.2,0.0,5.1,0.0,0.0,66.0
18-089,"Beef, topside, roasted medium-rare, lean and fat",MAC,222.0,29.9,0.0,11.4,0.0,0.0,62.0
18-090,"Beef, topside, roasted well-done, lean",MAC,202.0,36.2,0.0,6.3,,0.0,62.0
18-091,"Beef, topside, roasted well-done, lean and fat",MAC,244.0,32.8,0.0,12.5,,0.0,57.0
17-506,"Beer, bitter, average (<4% ABV)",QA,30.0,0.3,2.2,0.0,0,2.2,6.0
